,Drafter,Pick,Round,player_first_last,current_score,current_pos,current_points,projected_points,win,top_5,top_10,top_20,make_cut,round,thru,today,R1,R2,R3,R4,last_update,event_name
0,Stu,1,1,Ben Griffin,-29,1,50,50,1,1,1,1,1,4,18,-9,65,65,66,63,2025-11-09 4:00 PM,World Wide Technology Championship
5,Stu,6,2,Garrick Higgo,-26,T4,25,25,0,1,1,1,1,4,18,-4,68,65,61,68,2025-11-09 4:00 PM,World Wide Technology Championship
1,Alex,2,1,J.J. Spaun,-22,T11,7,7,0,0,0,1,1,4,18,-6,67,70,63,66,2025-11-09 4:00 PM,World Wide Technology Championship
22,Alex,23,8,Jackson Suber,-22,T11,7,7,0,0,0,1,1,4,18,-9,71,65,67,63,2025-11-09 4:00 PM,World Wide Technology Championship
7,Alex,8,3,Nico Echavarria,-21,T14,7,7,0,0,0,1,1,4,18,-9,69,68,67,63,2025-11-09 4:00 PM,World Wide Technology Championship
15,Dave,16,6,Thorbjorn Olesen,-21,T14,7,7,0,0,0,1,1,4,18,-6,66,68,67,66,2025-11-09 4:00 PM,World Wide Technology Championship
21,Stu,22,8,Thomas Rosenmueller,-19,T17,7,7,0,0,0,1,1,4,18,-4,68,69,64,68,2025-11-09 4:00 PM,World Wide Technology Championship
4,Alex,5,2,Rico Hoey,-18,T21,1,1,0,0,0,0,1,4,18,-4,69,66,67,68,2025-11-09 4:00 PM,World Wide Technology Championship
6,Stu,7,3,Michael Thorbjornsen,-16,T31,1,1,0,0,0,0,1,4,18,-7,66,69,72,65,2025-11-09 4:00 PM,World Wide Technology Championship
11,Stu,12,4,Pierceson Coody,-16,T31,1,1,0,0,0,0,1,4,18,-6,69,70,67,66,2025-11-09 4:00 PM,World Wide Technology Championship
16,Alex,17,6,Emiliano Grillo,-12,T56,1,1,0,0,0,0,1,4,18,-5,71,68,70,67,2025-11-09 4:00 PM,World Wide Technology Championship
9,Dave,10,4,Michael Brennan,-11,T59,1,1,0,0,0,0,1,4,18,-2,69,68,70,70,2025-11-09 4:00 PM,World Wide Technology Championship
17,Stu,18,6,Austin Eckroat,-11,T59,1,1,0,0,0,0,1,4,18,-3,74,65,69,69,2025-11-09 4:00 PM,World Wide Technology Championship
2,Dave,3,1,Max Greyserman,-10,62,1,1,0,0,0,0,1,4,18,-1,69,68,70,71,2025-11-09 4:00 PM,World Wide Technology Championship
12,Stu,13,5,Takumi Kanaya,-9,T63,1,1,0,0,0,0,1,4,18,2,69,67,69,74,2025-11-09 4:00 PM,World Wide Technology Championship
14,Dave,15,5,Keith Mitchell,-9,T63,1,1,0,0,0,0,1,4,18,-3,69,68,73,69,2025-11-09 4:00 PM,World Wide Technology Championship
23,Dave,24,8,Adam Schenk,-8,T69,1,1,0,0,0,0,1,4,18,-1,69,67,73,71,2025-11-09 4:00 PM,World Wide Technology Championship
19,Alex,20,7,Johnny Keefer,-4,CUT,0,0,0,0,0,0,0,2,0,0,66,74,,,2025-11-09 4:00 PM,World Wide Technology Championship
3,Dave,4,2,Wyndham Clark,-3,CUT,0,0,0,0,0,0,0,2,0,0,71,70,,,2025-11-09 4:00 PM,World Wide Technology Championship
8,Dave,9,3,Nick Taylor,-3,CUT,0,0,0,0,0,0,0,2,0,0,74,67,,,2025-11-09 4:00 PM,World Wide Technology Championship
10,Alex,11,4,Kevin Yu,-2,CUT,0,0,0,0,0,0,0,2,0,0,71,71,,,2025-11-09 4:00 PM,World Wide Technology Championship
13,Alex,14,5,Stephan Jaeger,0,CUT,0,0,0,0,0,0,0,2,0,0,71,73,,,2025-11-09 4:00 PM,World Wide Technology Championship
18,Stu,19,7,Erik Van Rooyen,0,CUT,0,0,0,0,0,0,0,2,0,0,70,74,,,2025-11-09 4:00 PM,World Wide Technology Championship
20,Dave,21,7,Jesper Svensson,8,CUT,0,0,0,0,0,0,0,2,0,0,73,79,,,2025-11-09 4:00 PM,World Wide Technology Championship
