,Drafter,Pick,Round,player_first_last,current_score,current_pos,current_points,win,top_5,top_10,make_cut,round,thru,today,R1,R2,R3,R4,last_update,event_name
0,Dave,1,1,Hideki Matsuyama,-9,T13,7,0,0,0,1,4,18,-3,69,70,65,67,2026-01-18 4:50 PM,Sony Open in Hawaii
1,Stu,2,1,Russell Henley,-8,T19,7,0,0,0,1,4,18,-3,65,73,67,67,2026-01-18 4:50 PM,Sony Open in Hawaii
2,Alex,3,1,J.J. Spaun,-5,T40,1,0,0,0,1,4,18,-4,66,71,72,66,2026-01-18 4:50 PM,Sony Open in Hawaii
3,Alex,4,2,Ben Griffin,-8,T19,7,0,0,0,1,4,18,-3,63,71,71,67,2026-01-18 4:50 PM,Sony Open in Hawaii
4,Stu,5,2,Si Woo Kim,-10,T11,7,0,0,0,1,4,18,-3,69,66,68,67,2026-01-18 4:50 PM,Sony Open in Hawaii
5,Dave,6,2,Collin Morikawa,0,CUT,0,0,0,0,0,2,0,0,72,68,,,2026-01-18 4:50 PM,Sony Open in Hawaii
6,Dave,7,3,Maverick McNealy,-7,T24,7,0,0,0,1,4,18,-3,66,66,74,67,2026-01-18 4:50 PM,Sony Open in Hawaii
7,Stu,8,3,Robert MacIntyre,-12,T4,25,0,1,1,1,4,18,-7,67,71,67,63,2026-01-18 4:50 PM,Sony Open in Hawaii
8,Alex,9,3,Harry Hall,-11,T6,15,0,0,1,1,4,18,-1,65,69,66,69,2026-01-18 4:50 PM,Sony Open in Hawaii
9,Alex,10,4,Aaron Rai,-4,T50,1,0,0,0,1,4,18,-2,69,70,69,68,2026-01-18 4:50 PM,Sony Open in Hawaii
10,Stu,11,4,Nick Taylor,-9,T13,7,0,0,0,1,4,18,0,62,69,70,70,2026-01-18 4:50 PM,Sony Open in Hawaii
11,Dave,12,4,Corey Conners,-7,T24,7,0,0,0,1,4,18,1,70,67,65,71,2026-01-18 4:50 PM,Sony Open in Hawaii
12,Dave,13,5,Chris Gotterup,-16,1,50,1,1,1,1,4,18,-6,63,69,68,64,2026-01-18 4:50 PM,Sony Open in Hawaii
13,Stu,14,5,Nico Echavarria,7,CUT,0,0,0,0,0,2,0,0,75,72,,,2026-01-18 4:50 PM,Sony Open in Hawaii
14,Alex,15,5,Chris Kirk,1,CUT,0,0,0,0,0,2,0,0,69,72,,,2026-01-18 4:50 PM,Sony Open in Hawaii
15,Alex,16,6,Ryan Gerard,-14,2,25,0,1,1,1,4,18,-5,69,64,68,65,2026-01-18 4:50 PM,Sony Open in Hawaii
16,Stu,17,6,Matt McCarty,-3,T55,1,0,0,0,1,4,18,0,67,72,68,70,2026-01-18 4:50 PM,Sony Open in Hawaii
17,Dave,18,6,Jordan Spieth,-7,T24,7,0,0,0,1,4,18,-1,68,68,68,69,2026-01-18 4:50 PM,Sony Open in Hawaii
18,Dave,19,7,Kurt Kitayama,-5,T40,1,0,0,0,1,4,18,-2,65,69,73,68,2026-01-18 4:50 PM,Sony Open in Hawaii
19,Stu,20,7,Rico Hoey,-4,T50,1,0,0,0,1,4,18,0,69,70,67,70,2026-01-18 4:50 PM,Sony Open in Hawaii
20,Alex,21,7,Daniel Berger,-11,T6,15,0,0,1,1,4,18,-6,66,70,69,64,2026-01-18 4:50 PM,Sony Open in Hawaii
21,Dave,22,8,Luke Clanton,1,CUT,0,0,0,0,0,2,0,0,69,72,,,2026-01-18 4:50 PM,Sony Open in Hawaii
22,Stu,23,8,Keita Nakajima,4,CUT,0,0,0,0,0,2,0,0,71,73,,,2026-01-18 4:50 PM,Sony Open in Hawaii
23,Alex,24,8,Ryo Hisatsune,0,CUT,0,0,0,0,0,2,0,0,71,69,,,2026-01-18 4:50 PM,Sony Open in Hawaii
